"Hash","string"
"mailCode417","<title>タイトル</title><body>本文0417</body>"
"mailCode418","<title>タイトル</title><body>本文0418</body>"
"mailCode419","<title>タイトル</title><body>本文0419</body>"
"mailCode420","<title>タイトル</title><body>本文0420</body>"
"mailCode421","<title>タイトル</title><body>本文0421</body>"
"mailCode422","<title>タイトル</title><body>本文0422</body>"
"mailCode423","<title>タイトル</title><body>本文0423</body>"
"mailCode424","<title>タイトル</title><body>本文0424</body>"
"mailCode425","<title>タイトル</title><body>本文0425</body>"
"mailCode426","<title>タイトル</title><body>本文0426</body>"
"mailCode427","<title>タイトル</title><body>本文0427</body>"
"mailCode428","<title>タイトル</title><body>本文0428</body>"
"mailCode429","<title>タイトル</title><body>本文0429</body>"
"mailCode430","<title>タイトル</title><body>本文0430</body>"
"mailCode431","<title>タイトル</title><body>本文0431</body>"
"mailCode432","<title>タイトル</title><body>本文0432</body>"
"mailCode433","<title>タイトル</title><body>本文0433</body>"
"mailCode434","<title>タイトル</title><body>本文0434</body>"
"mailCode435","<title>タイトル</title><body>本文0435</body>"
"mailCode436","<title>タイトル</title><body>本文0436</body>"
"mailCode437","<title>タイトル</title><body>本文0437</body>"
"mailCode438","<title>タイトル</title><body>本文0438</body>"
"mailCode439","<title>タイトル</title><body>本文0439</body>"
"mailCode440","<title>タイトル</title><body>本文0440</body>"
"mailCode441","<title>タイトル</title><body>本文0441</body>"
"mailCode442","<title>タイトル</title><body>本文0442</body>"
"mailCode443","<title>タイトル</title><body>本文0443</body>"
"mailCode444","<title>タイトル</title><body>本文0444</body>"
"mailCode445","<title>タイトル</title><body>本文0445</body>"
"mailCode446","<title>タイトル</title><body>本文0446</body>"
"mailCode447","<title>タイトル</title><body>本文0447</body>"
"mailCode448","<title>タイトル</title><body>本文0448</body>"
"mailCode449","<title>タイトル</title><body>本文0449</body>"
"mailCode450","<title>タイトル</title><body>本文0450</body>"
"mailCode451","<title>タイトル</title><body>本文0451</body>"
"mailCode452","<title>タイトル</title><body>本文0452</body>"
"mailCode453","<title>タイトル</title><body>本文0453</body>"
"mailCode454","<title>タイトル</title><body>本文0454</body>"
"mailCode455","<title>タイトル</title><body>本文0455</body>"
"mailCode456","<title>タイトル</title><body>本文0456</body>"
"mailCode457","<title>タイトル</title><body>本文0457</body>"
"mailCode458","<title>タイトル</title><body>本文0458</body>"
"mailCode459","<title>タイトル</title><body>本文0459</body>"
"mailCode460","<title>タイトル</title><body>本文0460</body>"
"mailCode461","<title>タイトル</title><body>本文0461</body>"
"mailCode462","<title>タイトル</title><body>本文0462</body>"
"mailCode463","<title>タイトル</title><body>本文0463</body>"
"mailCode464","<title>タイトル</title><body>本文0464</body>"
"mailCode465","<title>タイトル</title><body>本文0465</body>"
"mailCode466","<title>タイトル</title><body>本文0466</body>"
"mailCode467","<title>タイトル</title><body>本文0467</body>"
"mailCode468","<title>タイトル</title><body>本文0468</body>"
"mailCode469","<title>タイトル</title><body>本文0469</body>"
"mailCode470","<title>タイトル</title><body>本文0470</body>"
"mailCode471","<title>タイトル</title><body>本文0471</body>"
"mailCode472","<title>タイトル</title><body>本文0472</body>"
"mailCode473","<title>タイトル</title><body>本文0473</body>"
"mailCode474","<title>タイトル</title><body>本文0474</body>"
"mailCode475","<title>タイトル</title><body>本文0475</body>"
"mailCode476","<title>タイトル</title><body>本文0476</body>"
"mailCode477","<title>タイトル</title><body>本文0477</body>"
"mailCode478","<title>タイトル</title><body>本文0478</body>"
"mailCode479","<title>タイトル</title><body>本文0479</body>"
"mailCode480","<title>タイトル</title><body>本文0480</body>"
"mailCode481","<title>タイトル</title><body>本文0481</body>"
"mailCode482","<title>タイトル</title><body>本文0482</body>"
"mailCode483","<title>タイトル</title><body>本文0483</body>"
"mailCode484","<title>タイトル</title><body>本文0484</body>"
"mailCode485","<title>タイトル</title><body>本文0485</body>"
"mailCode486","<title>タイトル</title><body>本文0486</body>"
"mailCode487","<title>タイトル</title><body>本文0487</body>"
"mailCode488","<title>タイトル</title><body>本文0488</body>"
"mailCode489","<title>タイトル</title><body>本文0489</body>"
"mailCode490","<title>タイトル</title><body>本文0490</body>"
"mailCode491","<title>タイトル</title><body>本文0491</body>"
"mailCode492","<title>タイトル</title><body>本文0492</body>"
"mailCode493","<title>タイトル</title><body>本文0493</body>"
"mailCode494","<title>タイトル</title><body>本文0494</body>"
"mailCode495","<title>タイトル</title><body>本文0495</body>"
"mailCode496","<title>タイトル</title><body>本文0496</body>"
"mailCode497","<title>タイトル</title><body>本文0497</body>"
"mailCode498","<title>タイトル</title><body>本文0498</body>"
"mailCode499","<title>タイトル</title><body>本文0499</body>"
"mailCode500","<title>Going back to town...</title>
<body>I'm going back to town to see what I can
do there.
{0}, keep trying your best,
too!</body>"
"mailCode501","DO_NOT_TRANSLATE"
"mailCode502","DO_NOT_TRANSLATE"
"mailCode503","<title>I want to fly in the sky!</title>
<body>There must be a Digimon who can
teach me! I need you to find that
Digimon!

I'll be waiting in town!</body>"
"mailCode504","DO_NOT_TRANSLATE"
"mailCode505","DO_NOT_TRANSLATE"
"mailCode506","<title>A stick...</title>
<body>I need a stick that I can use as a
fishing rod...
Looking forward to it!</body>"
"mailCode507","DO_NOT_TRANSLATE"
"mailCode508","DO_NOT_TRANSLATE"
"mailCode509","<title>Delicious meat...</title>
<body>Don't forget:
Cheerful Apple, Digistalk, and Salty
Fruit!</body>"
"mailCode510","DO_NOT_TRANSLATE"
"mailCode511","DO_NOT_TRANSLATE"
"mailCode512","DO_NOT_TRANSLATE"
"mailCode513","DO_NOT_TRANSLATE"
"mailCode514","DO_NOT_TRANSLATE"
"mailCode515","<title>Please!</title>
<body>Digicarp!
I don't need anything else.
Looking forward to good news...</body>"
"mailCode516","DO_NOT_TRANSLATE"
"mailCode517","DO_NOT_TRANSLATE"
"mailCode518","<title>I'm hungry...</title>
<body>I'm really starving!
Please... Find me...
five Green Digistalks...</body>"
"mailCode519","DO_NOT_TRANSLATE"
"mailCode520","DO_NOT_TRANSLATE"
"mailCode521","DO_NOT_TRANSLATE"
"mailCode522","DO_NOT_TRANSLATE"
"mailCode523","DO_NOT_TRANSLATE"
"mailCode524","<title>Please help me...</title>
<body>You can find Royal Digijelly on the
forest paths in Nigh Plains.
You're the only one who can help me...
Please!</body>"
"mailCode525","DO_NOT_TRANSLATE"
"mailCode526","DO_NOT_TRANSLATE"
"mailCode527","DO_NOT_TRANSLATE"
"mailCode528","DO_NOT_TRANSLATE"
"mailCode529","DO_NOT_TRANSLATE"
"mailCode530","DO_NOT_TRANSLATE"
"mailCode531","DO_NOT_TRANSLATE"
"mailCode532","DO_NOT_TRANSLATE"
"mailCode533","DO_NOT_TRANSLATE"
"mailCode534","DO_NOT_TRANSLATE"
"mailCode535","DO_NOT_TRANSLATE"
"mailCode536","<title>Togemon is a blockhead!</title>
<body>I'm not coming back to town until
Togemon apologizes!</body>"
"mailCode537","DO_NOT_TRANSLATE"
"mailCode538","DO_NOT_TRANSLATE"
"mailCode539","<title>Help me!</title>
<body>Veemon can be so reckless!
Veemon needs to be nicer!

I think Veemon must be in the Noise
Storm at Server Desert.... Please help!</body>"
"mailCode540","DO_NOT_TRANSLATE"
"mailCode541","DO_NOT_TRANSLATE"
"mailCode542","<title>Magma Lozenge!</title>
<body>Bring back the Magma Lozenge dropped
somewhere on the Logic Volcano!
Thanks!</body>"
"mailCode543","DO_NOT_TRANSLATE"
"mailCode544","DO_NOT_TRANSLATE"
"mailCode545","DO_NOT_TRANSLATE"
"mailCode546","DO_NOT_TRANSLATE"
"mailCode547","DO_NOT_TRANSLATE"
"mailCode548","DO_NOT_TRANSLATE"
"mailCode549","DO_NOT_TRANSLATE"
"mailCode550","DO_NOT_TRANSLATE"
"mailCode551","<title>I need Cyber Grease!</title>
<body>You can find Cyber Grease in the Server
Desert.
I think Gargomon has it.
I'm counting on you!</body>"
"mailCode552","DO_NOT_TRANSLATE"
"mailCode553","DO_NOT_TRANSLATE"
"mailCode554","DO_NOT_TRANSLATE"
"mailCode555","DO_NOT_TRANSLATE"
"mailCode556","DO_NOT_TRANSLATE"
"mailCode557","DO_NOT_TRANSLATE"
"mailCode558","DO_NOT_TRANSLATE"
"mailCode559","DO_NOT_TRANSLATE"
"mailCode560","DO_NOT_TRANSLATE"
"mailCode561","DO_NOT_TRANSLATE"
"mailCode562","DO_NOT_TRANSLATE"
"mailCode563","DO_NOT_TRANSLATE"
"mailCode564","DO_NOT_TRANSLATE"
"mailCode565","DO_NOT_TRANSLATE"
"mailCode566","DO_NOT_TRANSLATE"
"mailCode567","DO_NOT_TRANSLATE"
"mailCode568","DO_NOT_TRANSLATE"
"mailCode569","DO_NOT_TRANSLATE"
"mailCode570","DO_NOT_TRANSLATE"
"mailCode571","DO_NOT_TRANSLATE"
"mailCode572","DO_NOT_TRANSLATE"
"mailCode573","DO_NOT_TRANSLATE"
"mailCode574","DO_NOT_TRANSLATE"
"mailCode575","DO_NOT_TRANSLATE"
"mailCode576","DO_NOT_TRANSLATE"
"mailCode577","DO_NOT_TRANSLATE"
"mailCode578","DO_NOT_TRANSLATE"
"mailCode579","DO_NOT_TRANSLATE"
"mailCode580","DO_NOT_TRANSLATE"
"mailCode581","DO_NOT_TRANSLATE"
"mailCode582","DO_NOT_TRANSLATE"
"mailCode583","DO_NOT_TRANSLATE"
"mailCode584","DO_NOT_TRANSLATE"
"mailCode585","DO_NOT_TRANSLATE"
"mailCode586","DO_NOT_TRANSLATE"
"mailCode587","DO_NOT_TRANSLATE"
"mailCode588","DO_NOT_TRANSLATE"
"mailCode589","DO_NOT_TRANSLATE"
"mailCode590","DO_NOT_TRANSLATE"
"mailCode591","DO_NOT_TRANSLATE"
"mailCode592","DO_NOT_TRANSLATE"
"mailCode593","DO_NOT_TRANSLATE"
"mailCode594","DO_NOT_TRANSLATE"
"mailCode595","DO_NOT_TRANSLATE"
"mailCode596","DO_NOT_TRANSLATE"
"mailCode597","DO_NOT_TRANSLATE"
"mailCode598","DO_NOT_TRANSLATE"
"mailCode599","DO_NOT_TRANSLATE"
"mailCode600","DO_NOT_TRANSLATE"
"mailCode601","DO_NOT_TRANSLATE"
"mailCode602","<title>Stop him!</title>
<body>The world is facing Armageddon!

The Dragon Emperor Examon is in the
Flame Lands of Logic Volcano.
Now is our chance to stop the violence!

I would go myself, but I must leave this
up to you! Good luck!</body>"
"mailCode603","DO_NOT_TRANSLATE"
"mailCode604","DO_NOT_TRANSLATE"
"mailCode605","DO_NOT_TRANSLATE"
"mailCode606","DO_NOT_TRANSLATE"
"mailCode607","DO_NOT_TRANSLATE"
"mailCode608","DO_NOT_TRANSLATE"
"mailCode609","DO_NOT_TRANSLATE"
"mailCode610","DO_NOT_TRANSLATE"
"mailCode611","DO_NOT_TRANSLATE"
"mailCode612","DO_NOT_TRANSLATE"
"mailCode613","DO_NOT_TRANSLATE"
"mailCode614","DO_NOT_TRANSLATE"
"mailCode615","DO_NOT_TRANSLATE"
"mailCode616","DO_NOT_TRANSLATE"
"mailCode617","DO_NOT_TRANSLATE"
"mailCode618","DO_NOT_TRANSLATE"
"mailCode619","DO_NOT_TRANSLATE"
"mailCode620","DO_NOT_TRANSLATE"
"mailCode621","DO_NOT_TRANSLATE"
"mailCode622","DO_NOT_TRANSLATE"
"mailCode623","DO_NOT_TRANSLATE"
"mailCode624","DO_NOT_TRANSLATE"
"mailCode625","DO_NOT_TRANSLATE"
"mailCode626","DO_NOT_TRANSLATE"
"mailCode627","DO_NOT_TRANSLATE"
"mailCode628","DO_NOT_TRANSLATE"
"mailCode629","<title>Meat sandbags</title>
<body>Instead of Sandbags, bring me 20 Hunks
of Meat!</body>"
"mailCode630","DO_NOT_TRANSLATE"
"mailCode631","DO_NOT_TRANSLATE"
"mailCode632","<title>I want meat...</title>
<body>If you bring me 20 pieces of Rotten
Meat, I'll let you through the tunnel!</body>"
"mailCode633","DO_NOT_TRANSLATE"
"mailCode634","DO_NOT_TRANSLATE"
"mailCode635","<title>Proof of Meat</title>
<body>If you bring 20 pieces of the Best Meat,
I will believe you and let you through
the tunnel.</body>"
"mailCode636","DO_NOT_TRANSLATE"
"mailCode637","DO_NOT_TRANSLATE"
"mailCode638","DO_NOT_TRANSLATE"
"mailCode639","DO_NOT_TRANSLATE"
"mailCode640","DO_NOT_TRANSLATE"
"mailCode641","DO_NOT_TRANSLATE"
"mailCode642","DO_NOT_TRANSLATE"
"mailCode643","DO_NOT_TRANSLATE"
"mailCode644","<title>The Ohguino Wastelands...</title>
<body>We need to first understand what the
Ohguino Wastelands are really like!
If possible, get some information from
the Veggie Troops!</body>"
"mailCode645","DO_NOT_TRANSLATE"
"mailCode646","DO_NOT_TRANSLATE"
"mailCode647","DO_NOT_TRANSLATE"
"mailCode648","DO_NOT_TRANSLATE"
"mailCode649","DO_NOT_TRANSLATE"
"mailCode650","DO_NOT_TRANSLATE"
"mailCode651","DO_NOT_TRANSLATE"
"mailCode652","DO_NOT_TRANSLATE"
"mailCode653","<title>Retake the fields!</title>
<body>Expel the Vegiemon who are occupying the
fields of the Palace of Thorns.
Retake what is ours!</body>"
"mailCode654","DO_NOT_TRANSLATE"
"mailCode655","DO_NOT_TRANSLATE"
"mailCode656","DO_NOT_TRANSLATE"
"mailCode657","DO_NOT_TRANSLATE"
"mailCode658","DO_NOT_TRANSLATE"
"mailCode659","DO_NOT_TRANSLATE"
"mailCode660","DO_NOT_TRANSLATE"
"mailCode661","DO_NOT_TRANSLATE"
"mailCode662","<title>Help me!</title>
<body>My worries are so grave...
I can't get any sleep...
I need the item to solve my troubles.

Don't forget... Please...</body>"
"mailCode663","DO_NOT_TRANSLATE"
"mailCode664","DO_NOT_TRANSLATE"
"mailCode665","DO_NOT_TRANSLATE"
"mailCode666","DO_NOT_TRANSLATE"
"mailCode667","<title>I'll keep my promise!</title>
<body>My body is finally fully healed!
I'm sorry I made you wait.
But now I can finally fulfil my promise.
I will move to the town and help you...
I can't wait to see you again!
</body>"
"mailCode668","<title>The Holy Chalice</title>
<body>Bring me Vikemon's treasure...
Bring me the Holy Chalice! I'll split it
with you! So don't run off!</body>"
"mailCode669","DO_NOT_TRANSLATE"
"mailCode670","DO_NOT_TRANSLATE"
"mailCode671","DO_NOT_TRANSLATE"
"mailCode672","DO_NOT_TRANSLATE"
"mailCode673","DO_NOT_TRANSLATE"
"mailCode674","<title>Pond fish</title>
<body>I need Digifry, Digicrucians, and
Digikoi for my fishing pond.
Please catch some for me!</body>"
"mailCode675","DO_NOT_TRANSLATE"
"mailCode676","DO_NOT_TRANSLATE"
"mailCode677","<title>I need an autograph!</title>
<body>Will you bring me the amazing Magnamon's
autograph?
Ask Veedramon in Absolute Zero where you
can find Magnamon!</body>"
"mailCode678","DO_NOT_TRANSLATE"
"mailCode679","DO_NOT_TRANSLATE"
"mailCode680","<title>Deliver a letter!</title>
<body>I need you to take a letter to
MegaKabuterimon... MegaKabuterimon is
somewhere...in this world... Thanks!</body>"
"mailCode681","DO_NOT_TRANSLATE"
"mailCode682","DO_NOT_TRANSLATE"
"mailCode683","DO_NOT_TRANSLATE"
"mailCode684","DO_NOT_TRANSLATE"
"mailCode685","DO_NOT_TRANSLATE"
"mailCode686","<title>My pupil...</title>
<body>Can you tell Gumdramon I'm sorry and
bring him back! I think you'll find him
at Logic Volcano!</body>"
"mailCode687","DO_NOT_TRANSLATE"
"mailCode688","DO_NOT_TRANSLATE"
"mailCode689","DO_NOT_TRANSLATE"
"mailCode690","DO_NOT_TRANSLATE"
"mailCode691","DO_NOT_TRANSLATE"
"mailCode692","DO_NOT_TRANSLATE"
"mailCode693","DO_NOT_TRANSLATE"
"mailCode694","DO_NOT_TRANSLATE"
"mailCode695","DO_NOT_TRANSLATE"
"mailCode696","DO_NOT_TRANSLATE"
"mailCode697","DO_NOT_TRANSLATE"
"mailCode698","DO_NOT_TRANSLATE"
"mailCode699","DO_NOT_TRANSLATE"
"mailCode700","DO_NOT_TRANSLATE"
"mailCode701","DO_NOT_TRANSLATE"
"mailCode702","DO_NOT_TRANSLATE"
"mailCode703","DO_NOT_TRANSLATE"
"mailCode704","DO_NOT_TRANSLATE"
"mailCode705","DO_NOT_TRANSLATE"
"mailCode706","DO_NOT_TRANSLATE"
"mailCode707","DO_NOT_TRANSLATE"
"mailCode708","DO_NOT_TRANSLATE"
"mailCode709","DO_NOT_TRANSLATE"
"mailCode710","<title>Bring me a Haguru Gear</title>
<body>Please bring me the Haguru Gear I need.
The Hagurumon with the gear is in the
control room of Faulty Ex Machina.</body>"
"mailCode711","DO_NOT_TRANSLATE"
"mailCode712","DO_NOT_TRANSLATE"
"mailCode713","DO_NOT_TRANSLATE"
"mailCode714","DO_NOT_TRANSLATE"
"mailCode715","DO_NOT_TRANSLATE"
"mailCode716","DO_NOT_TRANSLATE"
"mailCode717","DO_NOT_TRANSLATE"
"mailCode718","DO_NOT_TRANSLATE"
"mailCode719","<title>Digimon arbitration!</title>
<body>We need to stop this fight between
MetalGreymon and MetalTyrannomon.
I've totally given up!</body>"
"mailCode720","DO_NOT_TRANSLATE"
"mailCode721","DO_NOT_TRANSLATE"
"mailCode722","DO_NOT_TRANSLATE"
"mailCode723","DO_NOT_TRANSLATE"
"mailCode724","DO_NOT_TRANSLATE"
"mailCode725","DO_NOT_TRANSLATE"
"mailCode726","DO_NOT_TRANSLATE"
"mailCode727","DO_NOT_TRANSLATE"
"mailCode728","<title>Lost phone...</title>
<body>Please bring my homemade phone back from
Rocky Island in Faulty Ex Machina, where
I dropped it!</body>"
"mailCode729","DO_NOT_TRANSLATE"
"mailCode730","DO_NOT_TRANSLATE"
"mailCode731","DO_NOT_TRANSLATE"
"mailCode732","DO_NOT_TRANSLATE"
"mailCode733","DO_NOT_TRANSLATE"
"mailCode734","DO_NOT_TRANSLATE"
"mailCode735","DO_NOT_TRANSLATE"
"mailCode736","DO_NOT_TRANSLATE"
"mailCode737","DO_NOT_TRANSLATE"
"mailCode738","DO_NOT_TRANSLATE"
"mailCode739","DO_NOT_TRANSLATE"
"mailCode740","DO_NOT_TRANSLATE"
"mailCode741","DO_NOT_TRANSLATE"
"mailCode742","DO_NOT_TRANSLATE"
"mailCode743","<title>My blocks...</title>
<body>Can you get back my body block, which
Monzaemon took?

Monzaemon is probably somewhere in Bony
Resort...
</body>"
"mailCode744","DO_NOT_TRANSLATE"
"mailCode745","DO_NOT_TRANSLATE"
"mailCode746","DO_NOT_TRANSLATE"
"mailCode747","DO_NOT_TRANSLATE"
"mailCode748","DO_NOT_TRANSLATE"
"mailCode749","DO_NOT_TRANSLATE"
"mailCode750","DO_NOT_TRANSLATE"
"mailCode751","DO_NOT_TRANSLATE"
"mailCode752","<title>Help please!</title>
<body>Garurumon should be somewhere in the
Ohguino Wastelands.
Somewhere around Rosemon's hobby castle.

Please just find him...
Thank you in advance.</body>"
"mailCode753","DO_NOT_TRANSLATE"
"mailCode754","DO_NOT_TRANSLATE"
"mailCode755","DO_NOT_TRANSLATE"
"mailCode756","DO_NOT_TRANSLATE"
"mailCode757","DO_NOT_TRANSLATE"
"mailCode758","<title>Recapture the Vangassa!</title>
<body>Please bring back the Vangassa that
Turuiemon of Logic Volcano stole away!
This'll be easier than slicing butter!
Butter straight from the microwave!</body>"
"mailCode759","DO_NOT_TRANSLATE"
"mailCode760","DO_NOT_TRANSLATE"
"mailCode761","<title>SkullGrey Ring</title>
<body>Can you somehow get a SkullGrey Ring from
SkullGreymon and bring it to me?
Find SkullGreymon in Bony Resort. You
can do it with your negotiation skills!</body>"
"mailCode762","DO_NOT_TRANSLATE"
"mailCode763","DO_NOT_TRANSLATE"
"mailCode764","DO_NOT_TRANSLATE"
"mailCode765","DO_NOT_TRANSLATE"
"mailCode766","DO_NOT_TRANSLATE"
"mailCode767","<title>The battery's dead!</title>
<body>The battery in my mic is dead!
Go and get me a Digi-Battery from the
control room of Faulty Ex Machina!</body>"
"mailCode768","DO_NOT_TRANSLATE"
"mailCode769","DO_NOT_TRANSLATE"
"mailCode770","DO_NOT_TRANSLATE"
"mailCode771","DO_NOT_TRANSLATE"
"mailCode772","DO_NOT_TRANSLATE"
"mailCode773","<title>Platinum Poop Medal</title>
<body>There is only one Platinum Poop Medal in
this world!
Find it for me!</body>"
"mailCode774","DO_NOT_TRANSLATE"
"mailCode775","DO_NOT_TRANSLATE"
"mailCode776","DO_NOT_TRANSLATE"
"mailCode777","DO_NOT_TRANSLATE"
"mailCode778","DO_NOT_TRANSLATE"
"mailCode779","DO_NOT_TRANSLATE"
"mailCode780","DO_NOT_TRANSLATE"
"mailCode781","DO_NOT_TRANSLATE"
"mailCode782","DO_NOT_TRANSLATE"
"mailCode783","DO_NOT_TRANSLATE"
"mailCode784","DO_NOT_TRANSLATE"
"mailCode785","<title>Fishy Picture!</title>
<body>Can you get me a Fishy Picture from a
MegaSeadramon in MOD Cape?
Pretty please!
I can hardly contain my excitement!</body>"
"mailCode786","DO_NOT_TRANSLATE"
"mailCode787","DO_NOT_TRANSLATE"
"mailCode788","DO_NOT_TRANSLATE"
"mailCode789","DO_NOT_TRANSLATE"
"mailCode790","DO_NOT_TRANSLATE"
"mailCode791","<title>A worrying injury...</title>
<body>If it doesn't get any worse, it should
be okay, but I'm really worried!

I think Hackmon is at the Garbage Pile
at Logic Volcano...
He seems to misunderstand me, so I can't
go myself.

Please go look in on him for me. Thanks!</body>"
"mailCode792","DO_NOT_TRANSLATE"
"mailCode793","DO_NOT_TRANSLATE"
"mailCode794","DO_NOT_TRANSLATE"
"mailCode795","DO_NOT_TRANSLATE"
"mailCode796","DO_NOT_TRANSLATE"
"mailCode797","DO_NOT_TRANSLATE"
"mailCode798","DO_NOT_TRANSLATE"
"mailCode799","DO_NOT_TRANSLATE"
"mailCode800","<title>Yummy! Yummy! Yummy!</title>
<body>I have a request!
It's a delicious request...

Do you know the Seraphimon in the Server
Desert? You know, in Dead End Town.
You need to get them for me!
My mouth is watering just remembering
the taste!</body>"
"mailCode801","DO_NOT_TRANSLATE"
"mailCode802","DO_NOT_TRANSLATE"
"mailCode803","DO_NOT_TRANSLATE"
"mailCode804","DO_NOT_TRANSLATE"
"mailCode805","DO_NOT_TRANSLATE"
"mailCode806","DO_NOT_TRANSLATE"
"mailCode807","DO_NOT_TRANSLATE"
"mailCode808","DO_NOT_TRANSLATE"
"mailCode809","DO_NOT_TRANSLATE"
"mailCode810","DO_NOT_TRANSLATE"
"mailCode811","DO_NOT_TRANSLATE"
"mailCode812","<title>A wicked aura...</title>
<body>There is an aura of wickedness emanating
from the Concealed Gorge in Absolute
Zero! You need to get rid of it!
I'll be praying for you!</body>"
"mailCode813","DO_NOT_TRANSLATE"
"mailCode814","DO_NOT_TRANSLATE"
"mailCode815","DO_NOT_TRANSLATE"
"mailCode816","DO_NOT_TRANSLATE"
"mailCode817","DO_NOT_TRANSLATE"
"mailCode818","DO_NOT_TRANSLATE"
"mailCode819","DO_NOT_TRANSLATE"
"mailCode820","DO_NOT_TRANSLATE"
"mailCode821","DO_NOT_TRANSLATE"
"mailCode822","DO_NOT_TRANSLATE"
"mailCode823","DO_NOT_TRANSLATE"
"mailCode824","DO_NOT_TRANSLATE"
"mailCode825","DO_NOT_TRANSLATE"
"mailCode826","DO_NOT_TRANSLATE"
"mailCode827","DO_NOT_TRANSLATE"
"mailCode828","DO_NOT_TRANSLATE"
"mailCode829","DO_NOT_TRANSLATE"
"mailCode830","DO_NOT_TRANSLATE"
"mailCode831","DO_NOT_TRANSLATE"
"mailCode832","DO_NOT_TRANSLATE"
"mailCode833","<title>We need to make repairs!</title>
<body>Bring what we need to repair the shell
armor from Digimon in Infinite Cauldron!
</body>"
"mailCode834","DO_NOT_TRANSLATE"
"mailCode835","DO_NOT_TRANSLATE"
"mailCode836","DO_NOT_TRANSLATE"
"mailCode837","DO_NOT_TRANSLATE"
"mailCode838","DO_NOT_TRANSLATE"
"mailCode839","DO_NOT_TRANSLATE"
"mailCode840","DO_NOT_TRANSLATE"
"mailCode841","DO_NOT_TRANSLATE"
"mailCode842","DO_NOT_TRANSLATE"
"mailCode843","DO_NOT_TRANSLATE"
"mailCode844","DO_NOT_TRANSLATE"
"mailCode845","<title>The end of the world!</title>
<body>He is still close!
We are getting a RustTyranomon signal
from Layer 04 in Infinite Cauldron!

We can't just do nothing about this
destructive power... This might be our
only chance to defeat him.
He can't be immortal. Please...</body>"
"mailCode846","DO_NOT_TRANSLATE"
"mailCode847","DO_NOT_TRANSLATE"
"mailCode848","<title>Please...</title>
<body>Please bring me a Large Double Disk...

Before I disappear... Please!</body>"
"mailCode849","DO_NOT_TRANSLATE"
"mailCode850","DO_NOT_TRANSLATE"
"mailCode851","DO_NOT_TRANSLATE"
"mailCode852","DO_NOT_TRANSLATE"
"mailCode853","DO_NOT_TRANSLATE"
"mailCode854","DO_NOT_TRANSLATE"
"mailCode855","DO_NOT_TRANSLATE"
"mailCode856","DO_NOT_TRANSLATE"
"mailCode857","DO_NOT_TRANSLATE"
"mailCode858","DO_NOT_TRANSLATE"
"mailCode859","DO_NOT_TRANSLATE"
"mailCode860","DO_NOT_TRANSLATE"
"mailCode861","DO_NOT_TRANSLATE"
"mailCode862","DO_NOT_TRANSLATE"
"mailCode863","DO_NOT_TRANSLATE"
"mailCode864","DO_NOT_TRANSLATE"
"mailCode865","DO_NOT_TRANSLATE"
"mailCode866","DO_NOT_TRANSLATE"
"mailCode867","DO_NOT_TRANSLATE"
"mailCode868","DO_NOT_TRANSLATE"
"mailCode869","DO_NOT_TRANSLATE"
"mailCode870","DO_NOT_TRANSLATE"
"mailCode871","DO_NOT_TRANSLATE"
"mailCode872","DO_NOT_TRANSLATE"
"mailCode873","DO_NOT_TRANSLATE"
"mailCode874","DO_NOT_TRANSLATE"
"mailCode875","DO_NOT_TRANSLATE"
"mailCode876","DO_NOT_TRANSLATE"
"mailCode877","DO_NOT_TRANSLATE"
"mailCode878","DO_NOT_TRANSLATE"
"mailCode879","DO_NOT_TRANSLATE"
"mailCode880","DO_NOT_TRANSLATE"
"mailCode881","DO_NOT_TRANSLATE"
"mailCode882","DO_NOT_TRANSLATE"
"mailCode883","DO_NOT_TRANSLATE"
"mailCode884","<title>タイトル</title><body>本文0884</body>"
"mailCode885","<title>タイトル</title><body>本文0885</body>"
"mailCode886","<title>タイトル</title><body>本文0886</body>"
"mailCode887","<title>タイトル</title><body>本文0887</body>"
"mailCode888","<title>タイトル</title><body>本文0888</body>"
"mailCode889","<title>タイトル</title><body>本文0889</body>"
"mailCode890","<title>タイトル</title><body>本文0890</body>"
"mailCode891","<title>タイトル</title><body>本文0891</body>"
"mailCode892","<title>タイトル</title><body>本文0892</body>"
"mailCode893","<title>タイトル</title><body>本文0893</body>"
"mailCode894","<title>タイトル</title><body>本文0894</body>"
"mailCode895","<title>タイトル</title><body>本文0895</body>"
"mailCode896","<title>タイトル</title><body>本文0896</body>"
"mailCode897","<title>タイトル</title><body>本文0897</body>"
"mailCode898","<title>タイトル</title><body>本文0898</body>"
"mailCode899","<title>タイトル</title><body>本文0899</body>"
"mailCode900","<title>タイトル</title><body>本文0900</body>"
"mailCode901","<title>タイトル</title><body>本文0901</body>"
"mailCode902","<title>タイトル</title><body>本文0902</body>"
"mailCode903","<title>タイトル</title><body>本文0903</body>"
"mailCode904","<title>タイトル</title><body>本文0904</body>"
"mailCode905","<title>タイトル</title><body>本文0905</body>"
"mailCode906","<title>タイトル</title><body>本文0906</body>"
"mailCode907","<title>タイトル</title><body>本文0907</body>"
"mailCode908","<title>タイトル</title><body>本文0908</body>"
"mailCode909","<title>タイトル</title><body>本文0909</body>"
"mailCode910","<title>タイトル</title><body>本文0910</body>"
"mailCode911","<title>タイトル</title><body>本文0911</body>"
"mailCode912","<title>タイトル</title><body>本文0912</body>"
